Filename,Extracted Text
2731260-Kavita-Patel.pdf,"No. 124, 1st Main, 7th Block, Koramangala, Bangalore - 560095

Bill To Invoice # Invoice Date
Kavita Patel 2731260 10/12/2023
88, Orchid Avenue, Baroda,
Gujarat, India ee...
8380
ol] Description Unit Price Amount
2 Calvin Klein Aviator Sunglasses 2,799.00 5,598.00
2 Ray-Ban Round Metal Sunglasses 3,299.00 6,598.00
SS Subtotal 12,196.00
GST 18.0% 2,195.28
Invoice Total = 14,391.28
Re alll =
a eal

Powered by Invoice Home
"
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,"Aa
<o
Perfect Vision Opticals

28, 1st Floor, 2nd Cross, 1st Block, RT Nagar, Mumbai-400050
GSTIN: 28AJHCU1234L1ZA PAN: RFRBG5397G

INVOICE

Invoice No: 39787 BILL TO

Invoice Date: 25-11-2021 Deepa Patel

P.O.No: 3888 73, Pine Boulevard

P.O.Date: 23-11-2021 Mangalore

Ref No: 5984 Pan No: EXTQG2481B

Ref Date: 25-11-2021 Mobile No: 9855902017
Email: deepapatel@gmail.com
GSTIN: 24GRZOB1843N1Z5

Description In Detail Discount

Polarized Wrap Around Sports 3479.00 9915.15
Sunglasses ,

Ray-Ban Aviator Classic 2957.00 5618.30
Sunglasses

Bobster Eyewear Fuel
Photochromic Goggles 2684.00 2549.80

TOTAL 18083.25

Sub Total 18083.25
IGST @ 18% 3254.99

Grand Total 21338.24
PAYMENT METHOD
we Accept the PayPal, Master Card, VISA and E- Wallets
Terms & Condition:

1. Goods Once Sold Will Not be Taken Back
2. Goods Can be Exchanged During 2:00 pm to 4:00 pm

Thank you for business & visit Again

 
"
Invoice_2024-06-24_11-25-48_50.pdf,"INVOICE

Invoice From :

Specsworld Opticians

45, 4th Main, Jayamahal Extension, Mumbai - 400005
specsworldopticians@gmail.com

Contact no.: 9900232338

Invoice To:

Shruti Shah

66, Tulip Path

Hubli

Contact no.: 9127358171 Email: shrutishah@gmail.com

Item Name HSN/SAC Qty
Emporio Armani
Unisex-Adult
Sunglasses 9008 2

Fitovers Polarized
Sunglasses 9007 1

Calvin Klein Square
Sunglasses 9004 2

Terms & Conditions

Invoice details:

Invoice no.: 842
Date issued: 01-05-2020
GSTIN: 29AADCS3456G1ZR
Pan: RFRBG7060G
State: Maharashtra
GSTIN: 24YNOPP8541112Z1
Pan: CICQW 1344G
State: Karnataka
Unit Price IGST Amount
3003.00 18% 6006.00
4640.00 18% 4640.00
3461.00 18% 6922.00
Sub total 17568.00
IGST 18% 3162.24
Grand Total 20730.24

1. Payment terms are valid thirty (20) days from the date of this invoice, subject to a ¥2 of 2%

discount if paid within ten (10) days of the date of this invoice.
2. 30 days limited warranty unless stated otherwise in this invoice.

3. Balance due within 15 days of Invoice date. There shall be 10% Interest per Month thereafter.

4. A copy of this invoice is required, otherwise the warranty process stated herein will be delayed.
"
002670-Rahul-Bhardwaj.pdf,"GKB Opticals

No 20, Ground Floor, Brigade Road, Bangalore - 560001

 

Bill To Invoice # 002670

Rahul Bhardwaj Invoice Date 10/06/2023

12, Maple Drive, Trivandrum, P.O.# 2440
Kerala, India

OLN Description Olay means, Amount

2 Bobster Phoenix OTG Goggles 2,399.00 4,798.00

3 Puma Cat Eye Sunglasses 1,899.00 5,697.00

Subtotal 10,495.00

GST 18.0% 1,889.10

TOTAL W/)// lh 12,384.10
"
OpticalInvoice_2024-07-18_18-29-51_56.pdf,"TAX INVOICE
OPTICAL GLASSES

Plot No. 45, GIDC Industrial Estate, Vatva, Anmedabad, Gujarat

OPTICAL GLASSES GSTIN: 27AJHCU1234L1ZA
PERFECTING YOUR EYE PAN: RTRBGS397G

Invoice No Invoice Date Order No Order Date Ref No om DEI KS Destination Dispatch Through

08-04-2023 EC1406 06-04-2023 08-04-2023

Bill To Ship To

Meera Nair Meera Nair
78 Crystal Park, O.P. Road, Near Vadodara Central Mall, Gujarat-390012 78 Crystal Park, O.P. Road, Near Vadodara Central Mall, Gujarat-390012

State: Maharashtra State: Maharashtra
GSTIN: 24WTZSK7485A1Z3_ PAN: CRTMB7699Z GSTIN: 24WTZSK7485A1Z3_ PAN: CRTMB7699Z

[srino [tem Description | HSN [Rate | Batch | Gy | cst | sesT

1 . . 8636 3077.00 20230408-468 18 4984.74 4984.74 65355.48
Calvin Klein Square Sunglasses
2 Prada Women’s Round 8515 1482.00 20230408-069 13 1733.94 | 1733.94 22733.88
Sunglasses
4074.00 20230408-611 | sasss6 56 | se00.s6 | 56 | roauraz 12
Gucci Men’s Square Sunglasses

SUB TOTAL 165006.48
Discount 8250.32

GRAND TOTAL 156756.16
Terms & Condition
1) Goods once sold will not be taken back or exchanged
2) Any warranty claim will not be accepted without warranty card
3) Payment to be made within 30 days

 
"
OpticalInvoice_2024-07-18_18-29-00_5.pdf,"TAX INVOICE
OPTICAL GLASSES

Plot No. 45, GIDC Industrial Estate, Vatva, Anmedabad, Gujarat

OPTICAL GLASSES GSTIN: 27AJHCU1234L1ZA
PERFECTING YOUR EYE PAN: RTRBGS397G

Invoice No Invoice Date Order No Order Date Ref No om DEI KS Destination Dispatch Through

23-06-2023 21-06-2023 23-06-2023

Bill To Ship To

Vinod Rao Vinod Rao
67 Diamond Palace, Ghod Dod Road, Near Magdalla Port, Gujarat-395007 67 Diamond Palace, Ghod Dod Road, Near Magdalla Port, Gujarat-395007

State: Maharashtra State: Maharashtra
GSTIN: 24VOHEE8147H1Z1 PAN: OXUJB2385L GSTIN: 24VOHEE8147H1Z1 PAN: OXUJB2385L

[srino [tem Description | HSN [Rate | Batch | Gy | cesT | sosT

1 Diesel Women’s Square 8446 3850.00 20230623-401 14 3811.50 3811.50 49973.00
Sunglasses
2 Carrera Unisex-Adult 7875 680.00 20230623-665 15 918.00 918.00 12036.00
Rectangular Sunglasses
Oakley Men’s Rectangular
8559 1944.00 20230623-769 | a7as.c0 60 | 749.60 | 60 | 2293920 20
Sunglasses

SUB TOTAL 84948.20
Discount 4247.41

GRAND TOTAL 80700.79
Terms & Condition
1) Goods once sold will not be taken back or exchanged
2) Any warranty claim will not be accepted without warranty card
3) Payment to be made within 30 days

 
"
OpticalInvoice_2024-07-18_18-29-55_60.pdf,"TAX INVOICE
OPTICAL GLASSES

Plot No. 45, GIDC Industrial Estate, Vatva, Anmedabad, Gujarat

OPTICAL GLASSES GSTIN: 27AJHCU1234L1ZA
PERFECTING YOUR EYE PAN: RTRBGS397G

Invoice No Invoice Date Order No Order Date Ref No om DEI KS Destination Dispatch Through

06-11-2023 04-11-2023 06-11-2023

Bill To Ship To
Neha Desai Neha Desai
12 Sapphire Heights, Prahladnagar Road, Near Prahladnagar Garden, Gujarat- 12 Sapphire Heights, Prahladnagar Road, Near Prahladnagar Garden, Gujarat-380015
380015
State: Maharashtra State: Maharashtra
GSTIN: 24XCJGB3192B1Z5 PAN: NTIIT9466Q GSTIN: 24XCJGB3192B1Z5 PAN: NTIIT9466Q

[srino [tem Description | HSN [Rate | Batch | Gy | cst | sesT

1 | , 8912 1190.00 20231106-340 13 1392.30 1392.30 18254.60
Fitovers Polarized Sunglasses
2 8802 2861.00 20231106-599 12 3089.88 3089.88 40511.76
Persol Rectangular Sunglasses
Vogue Eyewear Women’s 8377 4109.00 20231106-617 } 309810 | 10 | ac0e.10 | 10 | 4a4a620 20
Round Sunglasses

SUB TOTAL 107252.56
Discount 5362.63

GRAND TOTAL 101889.93
Terms & Condition
1) Goods once sold will not be taken back or exchanged
2) Any warranty claim will not be accepted without warranty card
3) Payment to be made within 30 days

 
"
Invoice_2024-06-24_11-26-19_81.pdf,"INVOICE

Invoice From :

Specsworld Opticians

45, 4th Main, Jayamahal Extension, Mumbai - 400005
specsworldopticians@gmail.com

Contact no.: 9900232338

Invoice To:

Preeti Malhotra

49, Pine Boulevard

Hubli

Contact no.: 9736973822 Email: preetimalhotra@gmail.com

Invoice details:

Invoice no.: 776
Date issued: 22-07-2020
GSTIN: 29AADCS3456G1ZR
Pan: RFRBG7060G

State: Maharashtra

GSTIN: 24QOROE7073B1Z2
Pan: SRBCD2931S

State: Karnataka

Item Name HSN/SAC Qty

Calvin Klein Square

Unit Price

IGST Amount

Sunglasses 9004 1

Polarized Wrap
Around Sports

3402.00

4795.00

Sunglasses 9004 1

Fastrack Gradient

4495.00

Wayfarer Sunglasses 9006 2

Terms & Conditions

Sub total
IGST

Grand Total

1. Payment terms are valid thirty (20) days from the date of this invoice, subject to a ¥2 of 2%

discount if paid within ten (10) days of the date of this invoice.
2. 30 days limited warranty unless stated otherwise in this invoice.

3. Balance due within 15 days of Invoice date. There shall be 10% Interest per Month thereafter.

4. A copy of this invoice is required, otherwise the warranty process stated herein will be delayed.

18% 3402.00
18% 4795.00
18% 8990.00
17187.00

18% 3093.66
20280.66
"
ApexInvoice_2024-07-18_18-27-46_59.pdf,"V7 APEX EYEWEAR

APEX WEAR
Tax Invoice

New Hind House, Narottam Morarjee Marg, Ballard Estate,

Mumbai, Maharashtra
GSTIN: 27AAACR7147G1ZQ

Bill To Invoice Details

56 Diamond Tower, Varachha Road, Near Kailash Nagar, Gujarat-395006 .

cr Ce
[staton surat |
PName | ____—‘Prvasharma———S_—i

56 Diamond Tower, Varachha Road, Near Kailash Nagar, Gujarat-395006 Terms of
Address 30Days
Payment

State [| Gujarat §$ 14408
. 24SWGJJ7873C1Z8 9378
ICJKN5010Q 29-04-2023

rent rice ast [total |
[Calvin Kin Men's Rectangular Sunglasses | 7634 | 100% | 60 | 1800 | 156600] —1026600_|

Sub Total 51925.90
Terms & Conditions Discount 2596.30
1. Goods once sold will not be taken back or exchanged.
2. Please make the payment within 30 days. Grand Total 49329.61

 

Authorised signature
"
ApexInvoice_2024-07-18_18-27-50_63.pdf,"V7 APEX EYEWEAR

APEX WEAR
Tax Invoice

New Hind House, Narottam Morarjee Marg, Ballard Estate,
Mumbai, Maharashtra
GSTIN: 27AAACR7/147G1ZQ

Bill To Invoice Details

Sunshine Residency, Near Pramukh Swami Circle, Race Course Road, .
Address ¥ . Invoice Date 31-03-2023
Gujarat-380015

a SS
[station [surat

| Name |
Gujarat-380015 Payment
a
:

ren nt rice ast [total |
C—O. TCO Cr ULC
OO

Sub Total 61643.20
Terms & Conditions Discount 3082.16
1. Goods once sold will not be taken back or exchanged.
2. Please make the payment within 30 days. Grand Total 58561.04

 

Authorised signature
"
